r(1st stage) = 7014.279, v=8.347 time=0.0
r(1st stage) = 11172.911, v=5.231 time=0.009608624666419418
r(1st stage) = 11179.246, v=5.227 time=0.00963012047104228
r(1st stage) = 11185.571, v=5.223 time=0.009651616275665142
r(1st stage) = 11191.886, v=5.220 time=0.009673112080288005
r(1st stage) = 11198.191, v=5.216 time=0.009694607884910866
r(1st stage) = 11204.487, v=5.212 time=0.009716103689533729
r(1st stage) = 11210.772, v=5.208 time=0.00973759949415659
r(1st stage) = 11217.048, v=5.204 time=0.009759095298779453
r(1st stage) = 11223.314, v=5.200 time=0.009780591103402314
r(1st stage) = 11229.571, v=5.197 time=0.009802086908025177
r(1st stage) = 11235.818, v=5.193 time=0.00982358271264804
r(1st stage) = 11242.054, v=5.189 time=0.009845078517270902
r(1st stage) = 11248.282, v=5.185 time=0.009866574321893765
r(1st stage) = 11254.499, v=5.182 time=0.009888070126516626
r(1st stage) = 11260.707, v=5.178 time=0.009909565931139489
r(1st stage) = 11266.905, v=5.174 time=0.00993106173576235
r(1st stage) = 11273.094, v=5.170 time=0.009952557540385213
r(1st stage) = 11279.273, v=5.166 time=0.009974053345008076
r(1st stage) = 11285.443, v=5.163 time=0.009995549149630937
r(1st stage) = 11291.603, v=5.159 time=0.0100170449542538
r(1st stage) = 11297.753, v=5.155 time=0.010038540758876661
r(1st stage) = 11303.894, v=5.152 time=0.010060036563499524
r(1st stage) = 11310.025, v=5.148 time=0.010081532368122386
r(1st stage) = 11316.147, v=5.144 time=0.010103028172745249
r(1st stage) = 11322.259, v=5.140 time=0.010124523977368112
r(1st stage) = 11328.362, v=5.137 time=0.010146019781990973
r(1st stage) = 11334.456, v=5.133 time=0.010167515586613836
r(1st stage) = 11340.540, v=5.129 time=0.010189011391236697
r(1st stage) = 11346.614, v=5.126 time=0.01021050719585956
r(1st stage) = 11352.679, v=5.122 time=0.010232003000482421
r(1st stage) = 11358.735, v=5.118 time=0.010253498805105284
r(1st stage) = 11364.782, v=5.115 time=0.010274994609728147
r(1st stage) = 11370.819, v=5.111 time=0.010296490414351009
r(1st stage) = 11376.846, v=5.107 time=0.010317986218973871
r(1st stage) = 11382.865, v=5.104 time=0.010339482023596733
r(1st stage) = 11388.874, v=5.100 time=0.010360977828219596
r(1st stage) = 11394.874, v=5.097 time=0.010382473632842457
r(1st stage) = 11400.865, v=5.093 time=0.01040396943746532
r(1st stage) = 11406.846, v=5.089 time=0.010425465242088183
r(1st stage) = 11412.818, v=5.086 time=0.010446961046711044
r(1st stage) = 11418.781, v=5.082 time=0.010468456851333907
r(1st stage) = 11424.735, v=5.079 time=0.010489952655956768
r(1st stage) = 11430.679, v=5.075 time=0.010511448460579631
r(1st stage) = 11436.615, v=5.071 time=0.010532944265202493
r(1st stage) = 11442.541, v=5.068 time=0.010554440069825356
r(1st stage) = 11448.458, v=5.064 time=0.010575935874448219
r(1st stage) = 11454.366, v=5.061 time=0.01059743167907108
r(1st stage) = 11460.265, v=5.057 time=0.010618927483693943
r(1st stage) = 11466.155, v=5.054 time=0.010640423288316804
r(1st stage) = 11472.035, v=5.050 time=0.010661919092939667
r(1st stage) = 11477.907, v=5.047 time=0.010683414897562528
r(1st stage) = 11483.770, v=5.043 time=0.010704910702185391
r(1st stage) = 11489.623, v=5.040 time=0.010726406506808254
r(1st stage) = 11495.468, v=5.036 time=0.010747902311431115
r(1st stage) = 11501.303, v=5.033 time=0.010769398116053978
r(1st stage) = 11507.130, v=5.029 time=0.01079089392067684
r(1st stage) = 11512.947, v=5.026 time=0.010812389725299703
r(1st stage) = 11518.756, v=5.022 time=0.010833885529922564
r(1st stage) = 11524.555, v=5.019 time=0.010855381334545427
r(1st stage) = 11530.346, v=5.015 time=0.01087687713916829
r(1st stage) = 11536.128, v=5.012 time=0.010898372943791151
r(1st stage) = 11541.901, v=5.008 time=0.010919868748414014
r(1st stage) = 11547.664, v=5.005 time=0.010941364553036875
r(1st stage) = 11553.420, v=5.002 time=0.010962860357659738
r(1st stage) = 11559.166, v=4.998 time=0.0109843561622826
r(1st stage) = 11564.903, v=4.995 time=0.011005851966905462
r(1st stage) = 11570.632, v=4.991 time=0.011027347771528325
r(1st stage) = 11576.351, v=4.988 time=0.011048843576151187
r(1st stage) = 11582.062, v=4.984 time=0.01107033938077405
r(1st stage) = 11587.764, v=4.981 time=0.011091835185396911
r(1st stage) = 11593.457, v=4.978 time=0.011113330990019774
r(1st stage) = 11599.142, v=4.974 time=0.011134826794642635
r(1st stage) = 11604.818, v=4.971 time=0.011156322599265498
r(1st stage) = 11610.484, v=4.968 time=0.011177818403888361
r(1st stage) = 11616.143, v=4.964 time=0.011199314208511222
r(1st stage) = 11621.792, v=4.961 time=0.011220810013134085
r(1st stage) = 11627.433, v=4.957 time=0.011242305817756947
r(1st stage) = 11633.065, v=4.954 time=0.01126380162237981
r(1st stage) = 11638.688, v=4.951 time=0.01128529742700267
r(1st stage) = 11644.303, v=4.947 time=0.011306793231625534
r(1st stage) = 11649.909, v=4.944 time=0.011328289036248397
r(1st stage) = 11655.506, v=4.941 time=0.011349784840871258
r(1st stage) = 11661.095, v=4.937 time=0.011371280645494121
r(1st stage) = 11666.675, v=4.934 time=0.011392776450116982
r(1st stage) = 11672.247, v=4.931 time=0.011414272254739845
r(1st stage) = 11677.809, v=4.928 time=0.011435768059362706
r(1st stage) = 11683.364, v=4.924 time=0.01145726386398557
r(1st stage) = 11688.909, v=4.921 time=0.011478759668608432
r(1st stage) = 11694.446, v=4.918 time=0.011500255473231294
r(1st stage) = 11699.975, v=4.914 time=0.011521751277854157
r(1st stage) = 11705.495, v=4.911 time=0.011543247082477018
r(1st stage) = 11711.006, v=4.908 time=0.01156474288709988
r(1st stage) = 11716.509, v=4.905 time=0.011586238691722742
r(1st stage) = 11722.004, v=4.901 time=0.011607734496345605
r(1st stage) = 11727.489, v=4.898 time=0.011629230300968468
r(1st stage) = 11732.967, v=4.895 time=0.01165072610559133
r(1st stage) = 11738.436, v=4.892 time=0.011672221910214192
r(1st stage) = 11743.896, v=4.888 time=0.011693717714837053
r(1st stage) = 11749.348, v=4.885 time=0.011715213519459916
r(1st stage) = 11754.791, v=4.882 time=0.011736709324082778
r(1st stage) = 11760.226, v=4.879 time=0.01175820512870564
r(1st stage) = 11765.653, v=4.876 time=0.011779700933328504
r(1st stage) = 11771.071, v=4.872 time=0.011801196737951365
r(1st stage) = 11776.481, v=4.869 time=0.011822692542574228
r(1st stage) = 11781.882, v=4.866 time=0.011844188347197089
r(1st stage) = 11787.275, v=4.863 time=0.011865684151819952
r(1st stage) = 11792.659, v=4.860 time=0.011887179956442813
r(1st stage) = 11798.035, v=4.856 time=0.011908675761065676
r(1st stage) = 11803.403, v=4.853 time=0.01193017156568854
r(1st stage) = 11808.762, v=4.850 time=0.0119516673703114
r(1st stage) = 11814.113, v=4.847 time=0.011973163174934263
r(1st stage) = 11819.456, v=4.844 time=0.011994658979557125
r(1st stage) = 11824.790, v=4.841 time=0.012016154784179988
r(1st stage) = 11830.116, v=4.837 time=0.012037650588802849
r(1st stage) = 11835.434, v=4.834 time=0.012059146393425712
r(1st stage) = 11840.743, v=4.831 time=0.012080642198048575
r(1st stage) = 11846.044, v=4.828 time=0.012102138002671436
r(1st stage) = 11851.337, v=4.825 time=0.012123633807294299
r(1st stage) = 11856.622, v=4.822 time=0.01214512961191716
r(1st stage) = 11861.898, v=4.819 time=0.012166625416540023
r(1st stage) = 11867.166, v=4.816 time=0.012188121221162885
r(1st stage) = 11872.426, v=4.813 time=0.012209617025785748
r(1st stage) = 11877.677, v=4.810 time=0.01223111283040861
r(1st stage) = 11882.920, v=4.806 time=0.012252608635031472
r(1st stage) = 11888.155, v=4.803 time=0.012274104439654335
r(1st stage) = 11893.382, v=4.800 time=0.012295600244277196
r(1st stage) = 11898.600, v=4.797 time=0.012317096048900059
r(1st stage) = 11903.811, v=4.794 time=0.01233859185352292
r(1st stage) = 11909.013, v=4.791 time=0.012360087658145783
r(1st stage) = 11914.207, v=4.788 time=0.012381583462768644
r(1st stage) = 11919.393, v=4.785 time=0.012403079267391507
r(1st stage) = 11924.570, v=4.782 time=0.01242457507201437
r(1st stage) = 11929.739, v=4.779 time=0.012446070876637232
r(1st stage) = 11934.901, v=4.776 time=0.012467566681260095
r(1st stage) = 11940.054, v=4.773 time=0.012489062485882956
r(1st stage) = 11945.199, v=4.770 time=0.012510558290505819
r(1st stage) = 11950.335, v=4.767 time=0.01253205409512868
r(1st stage) = 11955.464, v=4.764 time=0.012553549899751543
r(1st stage) = 11960.584, v=4.761 time=0.012575045704374406
r(1st stage) = 11965.697, v=4.758 time=0.012596541508997267
r(1st stage) = 11970.801, v=4.755 time=0.01261803731362013
r(1st stage) = 11975.897, v=4.752 time=0.012639533118242991
r(1st stage) = 11980.985, v=4.749 time=0.012661028922865854
r(1st stage) = 11986.065, v=4.746 time=0.012682524727488716
r(1st stage) = 11991.137, v=4.743 time=0.012704020532111579
r(1st stage) = 11996.201, v=4.740 time=0.012725516336734442
r(1st stage) = 12001.257, v=4.737 time=0.012747012141357303
r(1st stage) = 12006.304, v=4.734 time=0.012768507945980166
r(1st stage) = 12011.344, v=4.731 time=0.012790003750603027
r(1st stage) = 12016.375, v=4.728 time=0.01281149955522589
r(1st stage) = 12021.399, v=4.725 time=0.012832995359848751
r(1st stage) = 12026.414, v=4.722 time=0.012854491164471614
r(1st stage) = 12031.422, v=4.720 time=0.012875986969094477
r(1st stage) = 12036.421, v=4.717 time=0.012897482773717339
r(1st stage) = 12041.412, v=4.714 time=0.012918978578340201
r(1st stage) = 12046.396, v=4.711 time=0.012940474382963063
r(1st stage) = 12051.371, v=4.708 time=0.012961970187585926
r(1st stage) = 12056.338, v=4.705 time=0.012983465992208787
r(1st stage) = 12061.297, v=4.702 time=0.01300496179683165
r(1st stage) = 12066.249, v=4.699 time=0.013026457601454513
r(1st stage) = 12071.192, v=4.696 time=0.013047953406077374
r(1st stage) = 12076.127, v=4.693 time=0.013069449210700237
r(1st stage) = 12081.055, v=4.691 time=0.013090945015323098
r(1st stage) = 12085.974, v=4.688 time=0.013112440819945961
r(1st stage) = 12090.885, v=4.685 time=0.013133936624568823
r(1st stage) = 12095.789, v=4.682 time=0.013155432429191686
r(1st stage) = 12100.684, v=4.679 time=0.013176928233814549
r(1st stage) = 12105.572, v=4.676 time=0.01319842403843741
r(1st stage) = 12110.451, v=4.673 time=0.013219919843060273
r(1st stage) = 12115.323, v=4.671 time=0.013241415647683134
r(1st stage) = 12120.187, v=4.668 time=0.013262911452305997
r(1st stage) = 12125.042, v=4.665 time=0.013284407256928858
r(1st stage) = 12129.890, v=4.662 time=0.013305903061551721
r(1st stage) = 12134.730, v=4.659 time=0.013327398866174584
r(1st stage) = 12139.562, v=4.657 time=0.013348894670797445
r(1st stage) = 12144.386, v=4.654 time=0.013370390475420308
r(1st stage) = 12149.202, v=4.651 time=0.01339188628004317
r(1st stage) = 12154.010, v=4.648 time=0.013413382084666033
r(1st stage) = 12158.811, v=4.645 time=0.013434877889288894
r(1st stage) = 12163.603, v=4.643 time=0.013456373693911757
r(1st stage) = 12168.387, v=4.640 time=0.01347786949853462
r(1st stage) = 12173.164, v=4.637 time=0.013499365303157481
r(1st stage) = 12177.933, v=4.634 time=0.013520861107780344
r(1st stage) = 12182.694, v=4.632 time=0.013542356912403205
r(1st stage) = 12187.447, v=4.629 time=0.013563852717026068
r(1st stage) = 12192.192, v=4.626 time=0.01358534852164893
r(1st stage) = 12196.929, v=4.623 time=0.013606844326271792
r(1st stage) = 12201.658, v=4.621 time=0.013628340130894655
r(1st stage) = 12206.380, v=4.618 time=0.013649835935517517
r(1st stage) = 12211.093, v=4.615 time=0.01367133174014038
r(1st stage) = 12215.799, v=4.612 time=0.013692827544763241
r(1st stage) = 12220.497, v=4.610 time=0.013714323349386104
r(1st stage) = 12225.187, v=4.607 time=0.013735819154008965
r(1st stage) = 12229.869, v=4.604 time=0.013757314958631828
r(1st stage) = 12234.544, v=4.602 time=0.013778810763254691
r(1st stage) = 12239.210, v=4.599 time=0.013800306567877552
r(1st stage) = 12243.869, v=4.596 time=0.013821802372500415
r(1st stage) = 12248.520, v=4.593 time=0.013843298177123277
r(1st stage) = 12253.163, v=4.591 time=0.01386479398174614
r(1st stage) = 12257.798, v=4.588 time=0.013886289786369
r(1st stage) = 12262.425, v=4.585 time=0.013907785590991864
r(1st stage) = 12267.045, v=4.583 time=0.013929281395614727
r(1st stage) = 12271.657, v=4.580 time=0.013950777200237588
r(1st stage) = 12276.260, v=4.577 time=0.013972273004860451
r(1st stage) = 12280.857, v=4.575 time=0.013993768809483312
r(1st stage) = 12285.445, v=4.572 time=0.014015264614106175
r(1st stage) = 12290.025, v=4.569 time=0.014036760418729036
r(1st stage) = 12294.598, v=4.567 time=0.0140582562233519
r(1st stage) = 12299.163, v=4.564 time=0.014079752027974762
r(1st stage) = 12303.720, v=4.562 time=0.014101247832597624
r(1st stage) = 12308.269, v=4.559 time=0.014122743637220487
r(1st stage) = 12312.811, v=4.556 time=0.014144239441843348
r(1st stage) = 12317.344, v=4.554 time=0.01416573524646621
r(1st stage) = 12321.870, v=4.551 time=0.014187231051089072
r(1st stage) = 12326.388, v=4.548 time=0.014208726855711935
r(1st stage) = 12330.899, v=4.546 time=0.014230222660334798
r(1st stage) = 12335.401, v=4.543 time=0.01425171846495766
r(1st stage) = 12339.896, v=4.541 time=0.014273214269580522
r(1st stage) = 12344.383, v=4.538 time=0.014294710074203383
r(1st stage) = 12348.862, v=4.535 time=0.014316205878826246
r(1st stage) = 12353.334, v=4.533 time=0.014337701683449108
r(1st stage) = 12357.797, v=4.530 time=0.01435919748807197
r(1st stage) = 12362.253, v=4.528 time=0.014380693292694834
r(1st stage) = 12366.701, v=4.525 time=0.014402189097317695
r(1st stage) = 12371.142, v=4.523 time=0.014423684901940558
r(1st stage) = 12375.574, v=4.520 time=0.014445180706563419
r(1st stage) = 12379.999, v=4.518 time=0.014466676511186282
r(1st stage) = 12384.416, v=4.515 time=0.014488172315809143
r(1st stage) = 12388.825, v=4.512 time=0.014509668120432006
r(1st stage) = 12393.227, v=4.510 time=0.01453116392505487
r(1st stage) = 12397.621, v=4.507 time=0.01455265972967773
r(1st stage) = 12402.007, v=4.505 time=0.014574155534300593
r(1st stage) = 12406.385, v=4.502 time=0.014595651338923455
r(1st stage) = 12410.755, v=4.500 time=0.014617147143546318
r(1st stage) = 12415.118, v=4.497 time=0.014638642948169179
r(1st stage) = 12419.473, v=4.495 time=0.014660138752792042
r(1st stage) = 12423.820, v=4.492 time=0.014681634557414905
r(1st stage) = 12428.160, v=4.490 time=0.014703130362037766
r(1st stage) = 12432.491, v=4.487 time=0.014724626166660629
r(1st stage) = 12436.815, v=4.485 time=0.01474612197128349
r(1st stage) = 12441.132, v=4.482 time=0.014767617775906353
r(1st stage) = 12445.440, v=4.480 time=0.014789113580529215
r(1st stage) = 12449.741, v=4.477 time=0.014810609385152078
r(1st stage) = 12454.034, v=4.475 time=0.01483210518977494
r(1st stage) = 12458.319, v=4.473 time=0.014853600994397802
r(1st stage) = 12462.597, v=4.470 time=0.014875096799020665
r(1st stage) = 12466.866, v=4.468 time=0.014896592603643526
r(1st stage) = 12471.129, v=4.465 time=0.014918088408266389
r(1st stage) = 12475.383, v=4.463 time=0.01493958421288925
r(1st stage) = 12479.629, v=4.460 time=0.014961080017512113
r(1st stage) = 12483.868, v=4.458 time=0.014982575822134976
r(1st stage) = 12488.099, v=4.455 time=0.015004071626757837
r(1st stage) = 12492.323, v=4.453 time=0.0150255674313807
r(1st stage) = 12496.538, v=4.451 time=0.015047063236003562
r(1st stage) = 12500.746, v=4.448 time=0.015068559040626425
r(1st stage) = 12504.946, v=4.446 time=0.015090054845249286
r(1st stage) = 12509.139, v=4.443 time=0.015111550649872149
r(1st stage) = 12513.323, v=4.441 time=0.015133046454495012
r(1st stage) = 12517.500, v=4.439 time=0.015154542259117873
r(1st stage) = 12521.669, v=4.436 time=0.015176038063740736
r(1st stage) = 12525.831, v=4.434 time=0.015197533868363597
r(1st stage) = 12529.985, v=4.431 time=0.01521902967298646
r(1st stage) = 12534.131, v=4.429 time=0.015240525477609321
r(1st stage) = 12538.269, v=4.427 time=0.015262021282232184
r(1st stage) = 12542.399, v=4.424 time=0.015283517086855046
r(1st stage) = 12546.522, v=4.422 time=0.015305012891477909
r(1st stage) = 12550.637, v=4.420 time=0.015326508696100772
r(1st stage) = 12554.744, v=4.417 time=0.015348004500723633
r(1st stage) = 12558.844, v=4.415 time=0.015369500305346496
r(1st stage) = 12562.936, v=4.413 time=0.015390996109969357
r(1st stage) = 12567.020, v=4.410 time=0.01541249191459222
r(1st stage) = 12571.096, v=4.408 time=0.015433987719215081
r(1st stage) = 12575.165, v=4.406 time=0.015455483523837944
r(1st stage) = 12579.226, v=4.403 time=0.015476979328460807
r(1st stage) = 12583.279, v=4.401 time=0.015498475133083668
r(1st stage) = 12587.324, v=4.399 time=0.015519970937706531
r(1st stage) = 12591.362, v=4.396 time=0.015541466742329393
r(1st stage) = 12595.392, v=4.394 time=0.015562962546952256
r(1st stage) = 12599.414, v=4.392 time=0.015584458351575117
r(1st stage) = 12603.429, v=4.389 time=0.01560595415619798
r(1st stage) = 12607.436, v=4.387 time=0.01562744996082084
r(1st stage) = 12611.435, v=4.385 time=0.015648945765443706
r(1st stage) = 12615.426, v=4.383 time=0.015670441570066567
r(1st stage) = 12619.409, v=4.380 time=0.01569193737468943
r(1st stage) = 12623.385, v=4.378 time=0.01571343317931229
r(1st stage) = 12627.353, v=4.376 time=0.015734928983935154
r(1st stage) = 12631.313, v=4.373 time=0.015756424788558016
r(1st stage) = 12635.266, v=4.371 time=0.015777920593180877
r(1st stage) = 12639.211, v=4.369 time=0.01579941639780374
r(1st stage) = 12643.148, v=4.367 time=0.015820912202426603
r(1st stage) = 12647.077, v=4.364 time=0.015842408007049464
r(1st stage) = 12650.999, v=4.362 time=0.015863903811672325
r(1st stage) = 12654.912, v=4.360 time=0.01588539961629519
r(1st stage) = 12658.818, v=4.358 time=0.01590689542091805
r(1st stage) = 12662.717, v=4.356 time=0.015928391225540912
r(1st stage) = 12666.607, v=4.353 time=0.015949887030163777
r(1st stage) = 12670.490, v=4.351 time=0.01597138283478664
r(1st stage) = 12674.365, v=4.349 time=0.0159928786394095
r(1st stage) = 12678.232, v=4.347 time=0.01601437444403236
r(1st stage) = 12682.092, v=4.344 time=0.016035870248655226
r(1st stage) = 12685.944, v=4.342 time=0.016057366053278087
r(1st stage) = 12689.788, v=4.340 time=0.016078861857900948
r(1st stage) = 12693.624, v=4.338 time=0.016100357662523813
r(1st stage) = 12697.453, v=4.336 time=0.016121853467146674
r(1st stage) = 12701.273, v=4.334 time=0.016143349271769535
r(1st stage) = 12705.086, v=4.331 time=0.016164845076392396
r(1st stage) = 12708.891, v=4.329 time=0.01618634088101526
r(1st stage) = 12712.689, v=4.327 time=0.016207836685638122
r(1st stage) = 12716.479, v=4.325 time=0.016229332490260984
r(1st stage) = 12720.260, v=4.323 time=0.01625082829488385
r(1st stage) = 12724.035, v=4.321 time=0.01627232409950671
r(1st stage) = 12727.801, v=4.318 time=0.01629381990412957
r(1st stage) = 12731.560, v=4.316 time=0.016315315708752432
r(1st stage) = 12735.310, v=4.314 time=0.016336811513375297
r(1st stage) = 12739.053, v=4.312 time=0.016358307317998158
r(1st stage) = 12742.789, v=4.310 time=0.01637980312262102
r(1st stage) = 12746.516, v=4.308 time=0.016401298927243884
r(1st stage) = 12750.236, v=4.306 time=0.016422794731866745
r(1st stage) = 12753.948, v=4.304 time=0.016444290536489607
r(1st stage) = 12757.652, v=4.301 time=0.016465786341112468
r(1st stage) = 12761.348, v=4.299 time=0.016487282145735332
r(1st stage) = 12765.037, v=4.297 time=0.016508777950358194
r(1st stage) = 12768.718, v=4.295 time=0.016530273754981055
r(1st stage) = 12772.390, v=4.293 time=0.01655176955960392
r(1st stage) = 12776.056, v=4.291 time=0.01657326536422678
r(1st stage) = 12779.713, v=4.289 time=0.016594761168849642
r(1st stage) = 12783.363, v=4.287 time=0.016616256973472503
r(1st stage) = 12787.004, v=4.285 time=0.016637752778095368
r(1st stage) = 12790.638, v=4.283 time=0.01665924858271823
r(1st stage) = 12794.265, v=4.281 time=0.01668074438734109
r(1st stage) = 12797.883, v=4.279 time=0.016702240191963955
r(1st stage) = 12801.493, v=4.276 time=0.016723735996586817
r(1st stage) = 12805.096, v=4.274 time=0.016745231801209678
r(1st stage) = 12808.691, v=4.272 time=0.01676672760583254
r(1st stage) = 12812.278, v=4.270 time=0.016788223410455404
r(1st stage) = 12815.858, v=4.268 time=0.016809719215078265
r(1st stage) = 12819.429, v=4.266 time=0.016831215019701126
r(1st stage) = 12822.993, v=4.264 time=0.01685271082432399
r(1st stage) = 12826.549, v=4.262 time=0.016874206628946852
r(1st stage) = 12830.097, v=4.260 time=0.016895702433569713
r(1st stage) = 12833.637, v=4.258 time=0.016917198238192575
r(1st stage) = 12837.169, v=4.256 time=0.01693869404281544
r(1st stage) = 12840.694, v=4.254 time=0.0169601898474383
r(1st stage) = 12844.211, v=4.252 time=0.016981685652061162
r(1st stage) = 12847.719, v=4.250 time=0.017003181456684027
r(1st stage) = 12851.220, v=4.248 time=0.017024677261306888
r(1st stage) = 12854.714, v=4.246 time=0.01704617306592975
r(1st stage) = 12858.199, v=4.244 time=0.01706766887055261
r(1st stage) = 12861.677, v=4.242 time=0.017089164675175475
r(1st stage) = 12865.146, v=4.240 time=0.017110660479798336
r(1st stage) = 12868.608, v=4.238 time=0.017132156284421197
r(1st stage) = 12872.062, v=4.236 time=0.017153652089044062
r(1st stage) = 12875.508, v=4.234 time=0.017175147893666923
r(1st stage) = 12878.946, v=4.232 time=0.017196643698289785
r(1st stage) = 12882.377, v=4.230 time=0.017218139502912646
r(1st stage) = 12885.799, v=4.229 time=0.01723963530753551
r(1st stage) = 12889.214, v=4.227 time=0.017261131112158372
r(1st stage) = 12892.621, v=4.225 time=0.017282626916781233
r(1st stage) = 12896.020, v=4.223 time=0.017304122721404098
r(1st stage) = 12899.411, v=4.221 time=0.01732561852602696
r(1st stage) = 12902.794, v=4.219 time=0.01734711433064982
r(1st stage) = 12906.169, v=4.217 time=0.01736861013527268
r(1st stage) = 12909.537, v=4.215 time=0.017390105939895546
r(1st stage) = 12912.896, v=4.213 time=0.017411601744518408
r(1st stage) = 12916.248, v=4.211 time=0.01743309754914127
r(1st stage) = 12919.592, v=4.209 time=0.017454593353764133
r(1st stage) = 12922.928, v=4.207 time=0.017476089158386995
r(1st stage) = 12926.256, v=4.206 time=0.017497584963009856
r(1st stage) = 12929.576, v=4.204 time=0.017519080767632717
r(1st stage) = 12932.888, v=4.202 time=0.017540576572255582
r(1st stage) = 12936.192, v=4.200 time=0.017562072376878443
r(1st stage) = 12939.489, v=4.198 time=0.017583568181501304
r(1st stage) = 12942.777, v=4.196 time=0.01760506398612417
r(1st stage) = 12946.058, v=4.194 time=0.01762655979074703
r(1st stage) = 12949.330, v=4.193 time=0.01764805559536989
r(1st stage) = 12952.595, v=4.191 time=0.017669551399992753
r(1st stage) = 12955.852, v=4.189 time=0.017691047204615618
r(1st stage) = 12959.101, v=4.187 time=0.01771254300923848
r(1st stage) = 12962.342, v=4.185 time=0.01773403881386134
r(1st stage) = 12965.575, v=4.183 time=0.017755534618484205
r(1st stage) = 12968.800, v=4.181 time=0.017777030423107066
r(1st stage) = 12972.017, v=4.180 time=0.017798526227729927
r(1st stage) = 12975.227, v=4.178 time=0.01782002203235279
r(1st stage) = 12978.428, v=4.176 time=0.017841517836975653
r(1st stage) = 12981.621, v=4.174 time=0.017863013641598514
r(1st stage) = 12984.807, v=4.172 time=0.017884509446221376
r(1st stage) = 12987.984, v=4.171 time=0.01790600525084424
r(1st stage) = 12991.154, v=4.169 time=0.0179275010554671
r(1st stage) = 12994.316, v=4.167 time=0.017948996860089963
r(1st stage) = 12997.469, v=4.165 time=0.017970492664712824
r(1st stage) = 13000.615, v=4.163 time=0.01799198846933569
r(1st stage) = 13003.753, v=4.162 time=0.01801348427395855
r(1st stage) = 13006.882, v=4.160 time=0.01803498007858141
r(1st stage) = 13010.004, v=4.158 time=0.018056475883204276
r(1st stage) = 13013.118, v=4.156 time=0.018077971687827137
r(1st stage) = 13016.224, v=4.155 time=0.01809946749245
r(1st stage) = 13019.322, v=4.153 time=0.01812096329707286
r(1st stage) = 13022.412, v=4.151 time=0.018142459101695724
r(1st stage) = 13025.494, v=4.149 time=0.018163954906318586
r(1st stage) = 13028.568, v=4.148 time=0.018185450710941447
r(1st stage) = 13031.634, v=4.146 time=0.01820694651556431
r(1st stage) = 13034.692, v=4.144 time=0.018228442320187173
r(1st stage) = 13037.742, v=4.142 time=0.018249938124810034
r(1st stage) = 13040.783, v=4.141 time=0.018271433929432895
r(1st stage) = 13043.817, v=4.139 time=0.01829292973405576
r(1st stage) = 13046.843, v=4.137 time=0.01831442553867862
r(1st stage) = 13049.861, v=4.136 time=0.018335921343301483
r(1st stage) = 13052.871, v=4.134 time=0.018357417147924347
r(1st stage) = 13055.873, v=4.132 time=0.01837891295254721
r(1st stage) = 13058.867, v=4.130 time=0.01840040875717007
r(1st stage) = 13061.853, v=4.129 time=0.01842190456179293
r(1st stage) = 13064.831, v=4.127 time=0.018443400366415796
r(1st stage) = 13067.801, v=4.125 time=0.018464896171038657
r(1st stage) = 13070.763, v=4.124 time=0.018486391975661518
r(1st stage) = 13073.716, v=4.122 time=0.018507887780284383
r(1st stage) = 13076.662, v=4.120 time=0.018529383584907244
r(1st stage) = 13079.600, v=4.119 time=0.018550879389530105
r(1st stage) = 13082.530, v=4.117 time=0.018572375194152967
r(1st stage) = 13085.451, v=4.115 time=0.01859387099877583
r(1st stage) = 13088.365, v=4.114 time=0.018615366803398693
r(1st stage) = 13091.270, v=4.112 time=0.018636862608021554
r(1st stage) = 13094.168, v=4.110 time=0.01865835841264442
r(1st stage) = 13097.057, v=4.109 time=0.01867985421726728
r(1st stage) = 13099.939, v=4.107 time=0.01870135002189014
r(1st stage) = 13102.812, v=4.106 time=0.018722845826513002
r(1st stage) = 13105.677, v=4.104 time=0.018744341631135867
r(1st stage) = 13108.534, v=4.102 time=0.018765837435758728
r(1st stage) = 13111.383, v=4.101 time=0.01878733324038159
r(1st stage) = 13114.224, v=4.099 time=0.018808829045004454
r(1st stage) = 13117.057, v=4.098 time=0.018830324849627315
r(1st stage) = 13119.882, v=4.096 time=0.018851820654250177
r(1st stage) = 13122.699, v=4.094 time=0.018873316458873038
r(1st stage) = 13125.507, v=4.093 time=0.018894812263495903
r(1st stage) = 13128.308, v=4.091 time=0.018916308068118764
r(1st stage) = 13131.100, v=4.090 time=0.018937803872741625
r(1st stage) = 13133.885, v=4.088 time=0.01895929967736449
r(1st stage) = 13136.661, v=4.086 time=0.01898079548198735
r(1st stage) = 13139.429, v=4.085 time=0.019002291286610212
r(1st stage) = 13142.189, v=4.083 time=0.019023787091233074
r(1st stage) = 13144.941, v=4.082 time=0.019045282895855938
r(1st stage) = 13147.685, v=4.080 time=0.0190667787004788
r(1st stage) = 13150.421, v=4.079 time=0.01908827450510166
r(1st stage) = 13153.148, v=4.077 time=0.019109770309724525
r(1st stage) = 13155.867, v=4.076 time=0.019131266114347387
r(1st stage) = 13158.579, v=4.074 time=0.019152761918970248
r(1st stage) = 13161.282, v=4.073 time=0.01917425772359311
r(1st stage) = 13163.977, v=4.071 time=0.019195753528215974
r(1st stage) = 13166.664, v=4.070 time=0.019217249332838835
r(1st stage) = 13169.343, v=4.068 time=0.019238745137461696
r(1st stage) = 13172.013, v=4.066 time=0.01926024094208456
